series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;REF_AREA;ADJUSTMENT;DIREN_OBJET;DIREN_THECO;DIREN_MESURE;DIREN_NATURE;DIREN_SECTACT;DIREN_TAILLENT;UNIT;DECIMALS;UNIT_MULT;COLLECTION;TIME_FORMAT;SOURCE_AGENCY;OBS_CONF;OBS_STATUS
DIREN.A.FR.BI.LME.BF.05.N.ZZ.GE;2021;2021-01-01;2021-12-31;1,1;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Besoins en fonds de roulement, Tous secteurs, Grandes entreprises, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Besoins en fonds de roulement, Tous secteurs, Grandes entreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;BF;BI;05;LME;ZZ;GE;JRCA;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.DE.05.N.MN.TT;2021;2021-01-01;2021-12-31;132,7;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier (sur capitaux propres), Soutien aux entreprises, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier (sur capitaux propres), Soutien aux entreprises, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;DE;BI;05;LME;MN;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.DE.05.N.RS.TT;2021;2021-01-01;2021-12-31;103,1;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier (sur capitaux propres), Services aux ménages, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier (sur capitaux propres), Services aux ménages, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;DE;BI;05;LME;RS;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.FL.07.N.PQ.TT;2021;2021-01-01;2021-12-31;17,2;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Chiffre d'affaires, France, Enseignement, santé humaine et action sociale, Toutes tailles, Critères LME, Taux de croissance en glissement annuel, Brut;Bilans d'Entreprises, Chiffre d'affaires, France, Enseignement, santé humaine et action sociale, Toutes tailles, Critères de la loi de modernisation de l'économie, Taux de croissance en glissement annuel, Brut;A;FR;N;FL;BI;07;LME;PQ;TT;PCCH;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.NC.05.N.H.TT;2021;2021-01-01;2021-12-31;71,3;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier net, Transports et entreposage, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier net, Transports et entreposage, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;NC;BI;05;LME;H;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.NC.05.N.JZ.TT;2021;2021-01-01;2021-12-31;63,4;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier net, Information et communication, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier net, Information et communication, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;NC;BI;05;LME;JZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.NC.05.N.RS.TT;2021;2021-01-01;2021-12-31;41,4;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier net, Services aux ménages, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier net, Services aux ménages, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;NC;BI;05;LME;RS;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.NC.05.N.ZZ.GE;2021;2021-01-01;2021-12-31;72,0;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Taux d'endettement financier net, Tous secteurs, Grandes entreprises, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Taux d'endettement financier net, Tous secteurs, Grandes entreprises, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;NC;BI;05;LME;ZZ;GE;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.OB.05.N.AZ.TT;2021;2021-01-01;2021-12-31;16,9;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Agriculture, sylviculture et pêche, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Agriculture, sylviculture et pêche, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;OB;BI;05;LME;AZ;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.OB.05.N.G.TT;2021;2021-01-01;2021-12-31;37,3;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Commerce et réparation automobile, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, Commerce et réparation automobile, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;OB;BI;05;LME;G;TT;PC;1;0;E;P1Y;FR2;F;A
DIREN.A.FR.BI.LME.OB.05.N.MN.TT;2021;2021-01-01;2021-12-31;35,5;2025-11-14T13:00:07+00:00;DIREN;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, obligataires et de crédit-bail, Soutien aux entreprises, Toutes tailles, Critères LME, Ratio moyen, Brut;Bilans d'Entreprises, Part des dettes obligataires dans le total des dettes bancaires, Soutien aux entreprises, Toutes tailles, Critères de la loi de modernisation de l'économie, Ratio moyen, Brut;A;FR;N;OB;BI;05;LME;MN;TT;PC;1;0;E;P1Y;FR2;F;A
